Study_id,Title,Year,Journal,DOI,Reference
001378a49553ea5076562f9c41333cca74da56a8,Quantifying migratory capacity and dispersal of the invasive Tench (Tinca tinca) in the St. Lawrence River using otolith chemistry,2021,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/CJFAS-2020-0460,"Morissette, O.  Lecomte, F.  Vachon, N.  Drouin, A.  & Sirois, P. (2021). Quantifying migratory capacity and dispersal of the invasive Tench (Tinca tinca) in the St. Lawrence River using otolith chemistry. Canadian Journal of Fisheries and Aquatic Sciences, 78(11), 1628-1638."
0051cdd3d691bb4c38935d9fb83ef38749b8765d,Comparison of the performance of scale and otolith microchemistry as fisheries research tools in a small upland catchment.,2011,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/F2011-027,"Ramsay, A. L.  Milner, N. J.  Hughes, R. N.  & McCarthy, I. D. (2011). Comparison of the performance of scale and otolith microchemistry as fisheries research tools in a small upland catchment. Canadian Journal of Fisheries and Aquatic Sciences, 68(5), 823-833."
0064b253cad38c7c2005dbcebd1d1e04cc151f0e,Recruitment Sources of Channel and Blue Catfishes Inhabiting the Middle Mississippi River,2016,River Research and Applications,10.1002/rra.3015,"Laughlin, T. W., Whitledge, G. W., Oliver, D. C., & Rude, N. P. (2016). Recruitment sources of channel and blue catfishes inhabiting the middle Mississippi River. River Research and Applications, 32(8), 1808-1818."
00a898e1a640beee2f72b87c9941485c11ae6e55,Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry,2005,Marine and Freshwater Research,10.1071/MF04153,"Stransky, C.  Garbe-Schonberg, C. D.  & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00d2bde580b2edab2cbacc97d37244cfd26a79c3,"Migratory patterns of exotic brown trout Salmo trutta in south-western Hokkaido, Japan, on the basis of otolith Sr:Ca ratios and acoustic telemetry.",2012,Journal of Fish Biology,10.1111/j.1095-8649.2011.03183.x,"Honda, K.  Arai, T.  Kobayashi, S.  Tsuda, Y.  & Miyashita, K. (2012). Migratory patterns of exotic brown trout Salmo trutta in south-western Hokkaido, Japan, on the basis of otolith Sr: Ca ratios and acoustic telemetry. Journal of Fish Biology, 80(2), 408-426."
0129bf27e357d807d600f118f9eee01d02d6cc2f,Isotopic discrimination of stable isotopes of nitrogen (d15N) and carbon (d13C) in a host-specific holocephalan tapeworm,2014,Journal of Helminthology,10.1017/S0022149X13000126,"Navarro, J., Albo-Puigserver, M., Coll, M., Saez, R., Forero, M. G., & Kutcha, R. (2014). Isotopic discrimination of stable isotopes of nitrogen (d15N) and carbon (d13C) in a host-specific holocephalan tapeworm. Journal of helminthology, 88(3), 371-375."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier),2010,Canadian Journal of Fisheries and Aquatic Sciences,10.1139/F10-037,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
012f25be1227de1402d8df2257721ead2c868519,Stable isotopes suggest the location of marine feeding grounds of South European Atlantic salmon in Greenland,2020,ICES Journal of Marine Science,10.1093/icesjms/fsz258,"Almodovar, A.  Nicola, G. G.  Ayllon, D.  Trueman, C. N.  Davidson, I.  Kennedy, R.  & Elvira, B. (2020). Stable isotopes suggest the location of marine feeding grounds of South European Atlantic salmon in Greenland. ICES Journal of Marine Science, 77(2), 593-603."
0133ff79ae9b7b6a081003a4ade10382df2bbd82,Natural tags identify nursery origin of a coastal elasmobranch Carcharhinus leucas,2020,Journal of Applied Ecology,10.1111/1365-2664.13627,"TinHan, T. C., O'Leary, S. J., Portnoy, D. S., Rooker, J. R., Gelpi, C. G., & Wells, R. D. (2020). Natural tags identify nursery origin of a coastal elasmobranch Carcharhinus leucas. Journal of Applied Ecology, 57(7), 1222-1232."
016f5a57798e7d51286dd8df38cbc2d9a5a591ba,"A part of the Japan Sea form of the threespine stickleback, Gasterosteus aculeatus, spawns in the seawater tidal pools of western Hokkaido Island, Japan",2006,Environmental Biology of Fishes,10.1007/s10641-006-9068-6,"Kume, M.  Kuwahara, T.  Arai, T.  Okamoto, M.  & Goto, A. (2006). A part of the Japan Sea form of the threespine stickleback, Gasterosteus aculeatus, spawns in the seawater tidal pools of western Hokkaido Island, Japan. Environmental Biology of Fishes, 77(2), 169-175."
